,query,value
0,covid,1912450
1,covid vaccine,1832650
2,pfizer,506250
3,coronavirus,473300
4,vaccine coronavirus,472800
5,astrazeneca vaccine,444700
6,astrazeneca,442950
7,pfizer vaccine,414950
8,vacina covid,391550
9,oxford,389550
10,oxford vaccine,344750
11,covid 19 vaccine,323900
12,vaccine tracker,235550
13,covid brasil,218850
14,covid-19 vaccine,217950
15,coronavac vaccine,213300
16,covid-19,210800
17,coronavac,207500
18,covid vaccine near me,151250
19,astrazeneca covid vaccine,139050
20,corona vaccine,133850
21,oxford astrazeneca vaccine,127850
22,sinovac,125800
23,moderna vaccine,125500
24,covid vaccine tracker,103900
